date,weather,Temp,Humidity
2019-10-19 15:00:00,light rain,300.77,68
2019-10-19 18:00:00,moderate rain,296.31,88
2019-10-19 21:00:00,light rain,294.81,94
2019-10-20 00:00:00,light rain,294.49,92
2019-10-20 03:00:00,overcast clouds,293.746,95
2019-10-20 06:00:00,overcast clouds,293.919,96
2019-10-20 09:00:00,overcast clouds,295.686,89
2019-10-20 12:00:00,broken clouds,301.093,65
2019-10-20 15:00:00,light rain,299.623,74
2019-10-20 18:00:00,broken clouds,296.519,83
2019-10-20 21:00:00,light rain,295.799,90
2019-10-21 00:00:00,light rain,294.996,92
2019-10-21 03:00:00,overcast clouds,293.958,94
2019-10-21 06:00:00,broken clouds,293.916,97
2019-10-21 09:00:00,overcast clouds,298.448,80
2019-10-21 12:00:00,overcast clouds,303.256,60
2019-10-21 15:00:00,moderate rain,300.272,78
2019-10-21 18:00:00,moderate rain,296.854,85
2019-10-21 21:00:00,light rain,295.031,92
2019-10-22 00:00:00,light rain,294.083,98
2019-10-22 03:00:00,broken clouds,293.542,98
2019-10-22 06:00:00,broken clouds,294.051,96
2019-10-22 09:00:00,few clouds,299.493,75
2019-10-22 12:00:00,clear sky,303.685,59
2019-10-22 15:00:00,moderate rain,300.5,76
2019-10-22 18:00:00,light rain,296.824,88
2019-10-22 21:00:00,light rain,295.693,93
2019-10-23 00:00:00,overcast clouds,295.059,95
2019-10-23 03:00:00,scattered clouds,294.36,97
2019-10-23 06:00:00,few clouds,294.558,96
2019-10-23 09:00:00,clear sky,300.104,74
2019-10-23 12:00:00,few clouds,304.872,55
2019-10-23 15:00:00,moderate rain,300.516,74
2019-10-23 18:00:00,light rain,296.798,86
2019-10-23 21:00:00,light rain,295.956,92
2019-10-24 00:00:00,light rain,294.487,93
2019-10-24 03:00:00,overcast clouds,293.922,94
2019-10-24 06:00:00,overcast clouds,294.4,92
2019-10-24 09:00:00,broken clouds,300.224,71
2019-10-24 12:00:00,scattered clouds,305.991,52
